Time (UTC),Spot Price 2025,Spot Price 2035,Spot Price 2045,DA forecast,Realised production
2014-01-09 17.59.59,27.495,22.891,13.724,0.1996,0.1619
2014-01-09 18.59.59,26.506,22.891,13.724,0.1161,0.0812
2014-01-09 19.59.59,25.518,22.891,13.724,0.9201,0.8472
2014-01-09 20.59.59,25.518,22.891,13.724,1,0.9799
2014-01-09 21.59.59,25.518,22.891,13.724,0.9895,0.8973
2014-01-09 22.59.59,25.518,22.891,13.724,0.9731,0.8066
2014-01-09 23.59.59,24.242,18.983,5.506,0.7027,0.6164
2014-01-10 00.59.59,24.242,18.983,5.506,0.4292,0.4097
2014-01-10 01.59.59,24.242,18.983,5.506,0.3722,0.3679
2014-01-10 02.59.59,24.242,18.983,5.506,0.4585,0.3781
2014-01-10 03.59.59,24.242,18.983,5.506,0.5567,0.3521
2014-01-10 04.59.59,25.283,18.983,5.506,0.515,0.3095
2014-01-10 05.59.59,26.863,18.861,5.373,0.4874,0.2928
2014-01-10 06.59.59,29.236,18.957,4.385,0.4688,0.2705
2014-01-10 07.59.59,40.744,18.26,4.386,0.4069,0.256
2014-01-10 08.59.59,26.949,13.093,3.7,0.3962,0.2524
2014-01-10 09.59.59,25.652,12.935,3.7,0.3993,0.2672
2014-01-10 10.59.59,25.283,12.935,3.7,0.4632,0.2727
2014-01-10 11.59.59,25.283,12.935,3.7,0.6659,0.3139
2014-01-10 12.59.59,25.283,13.036,5.166,0.6185,0.2966
2014-01-10 13.59.59,25.686,15.365,5.286,0.5217,0.2645
2014-01-10 14.59.59,26.22,19.509,5.506,0.4187,0.2356
2014-01-10 15.59.59,28.147,19.677,5.506,0.4074,0.2351
2014-01-10 16.59.59,28.147,19.834,5.506,0.5015,0.284
2014-01-10 17.59.59,27.581,19.628,5.506,0.5162,0.3096
2014-01-10 18.59.59,26.177,19.587,5.506,0.5994,0.3191
2014-01-10 19.59.59,25.511,19.509,5.506,0.6513,0.3426
2014-01-10 20.59.59,25.283,19.508,5.506,0.7336,0.3677
2014-01-10 21.59.59,24.789,19.202,5.506,0.8418,0.4366
2014-01-10 22.59.59,24.535,18.983,5.506,0.8696,0.4423
2014-01-10 23.59.59,24.23,28.003,15.04,0.5023,0.4131
2014-01-11 00.59.59,24.23,28.003,15.04,0.5227,0.3974
2014-01-11 01.59.59,24.23,28.003,15.04,0.5192,0.3647
2014-01-11 02.59.59,24.23,28.003,15.04,0.5905,0.3713
2014-01-11 03.59.59,24.23,28.003,15.04,0.7042,0.3963
2014-01-11 04.59.59,24.23,28.003,15.04,0.7089,0.3898
2014-01-11 05.59.59,24.23,28.003,15.04,0.7112,0.3932
2014-01-11 06.59.59,25.415,27.978,15.04,0.7424,0.3911
2014-01-11 07.59.59,25.572,26.768,14.61,0.6852,0.3528
2014-01-11 08.59.59,27.449,24.802,13.215,0.5342,0.2542
2014-01-11 09.59.59,25.043,24.802,13.215,0.3739,0.1812
2014-01-11 10.59.59,25.043,24.802,13.215,0.3012,0.1334
2014-01-11 11.59.59,25.064,24.802,13.215,0.2837,0.13
2014-01-11 12.59.59,25.064,24.802,13.215,0.3994,0.2113
2014-01-11 13.59.59,25.064,26.523,14.541,0.4819,0.3017
2014-01-11 14.59.59,24.77,28.003,15.04,0.5594,0.3687
2014-01-11 15.59.59,25.152,28.003,15.04,0.6133,0.3792
2014-01-11 16.59.59,25.182,28.003,15.04,0.5495,0.3567
2014-01-11 17.59.59,25.043,28.003,15.04,0.5899,0.4148
2014-01-11 18.59.59,25.057,28.003,15.04,0.6616,0.4403
2014-01-11 19.59.59,25.097,28.003,15.04,0.7937,0.5305
2014-01-11 20.59.59,25.036,28.003,15.04,0.9658,0.7178
2014-01-11 21.59.59,27.712,28.509,15.04,1,0.9
2014-01-11 22.59.59,26.508,28.509,15.04,1,0.9282
2014-01-11 23.59.59,26.242,27.642,14.175,0.9954,0.9129
2014-01-12 00.59.59,26.242,27.642,14.175,0.9863,0.8528
2014-01-12 01.59.59,26.242,27.642,14.175,0.9764,0.8575
2014-01-12 02.59.59,26.242,27.642,14.175,0.9761,0.8061
2014-01-12 03.59.59,26.242,27.642,14.175,0.9791,0.8013
2014-01-12 04.59.59,26.26,27.642,14.175,0.9926,0.8808
2014-01-12 05.59.59,26.328,27.642,14.175,1,0.9624
2014-01-12 06.59.58,26.242,27.642,14.175,1,0.9928
2014-01-12 07.59.58,25.507,25.084,13.469,1,0.9926
2014-01-12 08.59.58,24.169,13.954,11.593,1,0.9862
2014-01-12 09.59.58,24.108,12.935,11.371,0.9161,0.7747
2014-01-12 10.59.58,24.144,12.935,11.371,0.7007,0.5302
2014-01-12 11.59.58,24.144,12.935,11.371,0.4299,0.3051
2014-01-12 12.59.58,24.169,13.031,11.465,0.4016,0.2814
2014-01-12 13.59.58,25.507,16.398,13.396,0.4042,0.3271
2014-01-12 14.59.58,28.243,27.317,14.175,0.2489,0.2211
2014-01-12 15.59.58,31.588,27.92,14.175,0.1785,0.1845
2014-01-12 16.59.58,32.957,29.05,14.175,0.1391,0.1436
2014-01-12 17.59.58,34.29,31.555,14.175,0.1565,0.1516
2014-01-12 18.59.58,34.29,32.09,14.175,0.1488,0.133
2014-01-12 19.59.58,34.653,32.05,14.175,0.0867,0.0792
2014-01-12 20.59.58,34.653,30.114,14.175,0.0568,0.0632
2014-01-12 21.59.58,34.29,29.92,14.175,0.0016,0.018
2014-01-12 22.59.58,34.29,29.735,14.175,0,0.0087
2014-01-12 23.59.58,33.421,49.598,48.915,0.2169,0.0118
2014-01-13 00.59.58,33.211,49.598,48.915,0.2439,0.044
2014-01-13 01.59.58,33.211,49.598,48.915,0.2838,0.084
2014-01-13 02.59.58,33.211,49.598,48.915,0.3226,0.1138
2014-01-13 03.59.58,33.211,49.598,48.915,0.3924,0.1605
2014-01-13 04.59.58,33.421,49.742,48.915,0.4371,0.2279
2014-01-13 05.59.58,33.887,47.824,47.867,0.553,0.3172
2014-01-13 06.59.58,36.014,48.596,47.54,0.628,0.374
2014-01-13 07.59.58,36.096,48.444,47.516,0.7372,0.439
2014-01-13 08.59.58,34.109,47.67,46.137,0.722,0.4542
2014-01-13 09.59.58,33.424,47.67,45.939,0.7242,0.4744
2014-01-13 10.59.58,33.36,47.691,46.202,0.8349,0.5521
2014-01-13 11.59.58,33.36,47.691,46.239,0.872,0.6106
2014-01-13 12.59.58,34.695,48.568,47.323,0.8315,0.603
2014-01-13 13.59.58,35.846,49.06,47.896,0.8505,0.6962
2014-01-13 14.59.58,37.761,49.54,48.915,0.8418,0.7498
2014-01-13 15.59.58,39.687,50.164,48.915,0.7496,0.7626
2014-01-13 16.59.58,37.821,50.696,48.915,0.6151,0.6699
2014-01-13 17.59.58,36.717,50,48.915,0.4861,0.5119
2014-01-13 18.59.58,36.057,49.598,48.915,0.2802,0.353
2014-01-13 19.59.58,35.375,49.598,48.915,0.1351,0.1786
2014-01-13 20.59.58,35.258,49.598,48.915,0.1269,0.1497
2014-01-13 21.59.58,35.145,49.598,48.915,0.1425,0.1717
2014-01-13 22.59.58,34.719,49.762,48.915,0.1684,0.1975
2014-01-13 23.59.58,58.623,52.871,52.707,0.1498,0.1606
2014-01-14 00.59.58,58.623,52.871,52.707,0.0509,0.101
2014-01-14 01.59.58,58.623,52.871,52.707,0.0295,0.0847
2014-01-14 02.59.58,58.885,52.871,52.707,0.0168,0.0724
2014-01-14 03.59.58,58.885,52.871,52.707,0.0116,0.0554
