Time (UTC),Spot Price 2025,Spot Price 2035,Spot Price 2045,DA forecast,Realised Production
2012-01-05 22.00.00,23.556,17.292,16.133,0.8469,0.5942
2012-01-05 23.00.00,23.556,17.292,16.133,0.821,0.5366
2012-01-06 00.00.00,23.553,14.145,5.27,0.6084,0.5264
2012-01-06 01.00.00,23.553,14.145,5.27,0.5722,0.5443
2012-01-06 02.00.00,23.553,14.145,5.27,0.5876,0.5813
2012-01-06 03.00.00,23.553,14.145,5.27,0.6372,0.5268
2012-01-06 04.00.00,23.553,14.145,5.27,0.7073,0.4493
2012-01-06 05.00.00,23.836,14.145,5.27,0.6509,0.3912
2012-01-06 06.00.00,24.947,14.881,5.005,0.531,0.3136
2012-01-06 07.00.00,32.977,15.44,4.859,0.4383,0.2399
2012-01-06 08.00.00,28.305,15.457,4.64,0.3084,0.1917
2012-01-06 09.00.00,26.83,13.428,3.694,0.2716,0.1623
2012-01-06 10.00.00,32.934,13.544,3.415,0.1816,0.0937
2012-01-06 11.00.00,31.71,12.479,3.408,0.195,0.0789
2012-01-06 12.00.00,29.51,12.479,3.408,0.2811,0.0867
2012-01-06 13.00.00,25.067,12.479,3.426,0.303,0.1092
2012-01-06 14.00.00,25.056,12.479,3.78,0.2495,0.0978
2012-01-06 15.00.00,25.545,14.145,5.27,0.2508,0.1197
2012-01-06 16.00.00,24.947,14.346,5.27,0.3585,0.1945
2012-01-06 17.00.00,25.268,14.645,5.27,0.5013,0.2724
2012-01-06 18.00.00,24.947,14.513,5.27,0.538,0.3191
2012-01-06 19.00.00,24.385,14.145,5.27,0.672,0.3652
2012-01-06 20.00.00,25.083,14.145,5.27,0.6889,0.3743
2012-01-06 21.00.00,24.042,14.145,5.27,0.6187,0.3151
2012-01-06 22.00.00,23.553,14.145,5.27,0.697,0.3472
2012-01-06 23.00.00,23.553,14.145,5.27,0.7514,0.3543
2012-01-07 00.00.00,23.036,23.102,9.503,0.414,0.3386
2012-01-07 01.00.00,23.036,23.102,9.503,0.3764,0.2789
2012-01-07 02.00.00,23.144,23.102,9.503,0.3622,0.2417
2012-01-07 03.00.00,23.144,23.102,9.503,0.3507,0.204
2012-01-07 04.00.00,23.144,23.102,9.503,0.3561,0.1744
2012-01-07 05.00.00,23.144,23.131,9.503,0.3812,0.1832
2012-01-07 06.00.00,23.235,23.811,9.503,0.357,0.1698
2012-01-07 07.00.00,24.616,24.124,9.503,0.4294,0.2023
2012-01-07 08.00.00,24.996,24.671,9.393,0.4745,0.2413
2012-01-07 09.00.00,23.228,22.568,8,0.7842,0.4074
2012-01-07 10.00.00,21.703,11.767,6.808,0.7935,0.4501
2012-01-07 11.00.00,21.445,10.623,6.808,0.7946,0.454
2012-01-07 12.00.00,21.445,10.623,6.808,0.8033,0.4814
2012-01-07 13.00.00,21.445,10.623,8.71,0.8653,0.5383
2012-01-07 14.00.00,23.144,23.533,9.503,0.8654,0.5981
2012-01-07 15.00.00,23.235,23.811,9.503,0.8564,0.6117
2012-01-07 16.00.00,24.696,25.21,9.503,0.9181,0.6504
2012-01-07 17.00.00,27.411,25.21,9.503,0.8792,0.6115
2012-01-07 18.00.00,27.411,24.719,9.503,0.7656,0.5406
2012-01-07 19.00.00,27.411,24.413,9.503,0.7709,0.5127
2012-01-07 20.00.00,26.979,24.413,9.503,0.7546,0.4894
2012-01-07 21.00.00,26.979,24.328,9.503,0.7841,0.4579
2012-01-07 22.00.00,24.301,23.811,9.503,0.6135,0.3236
2012-01-07 23.00.00,23.308,23.811,9.503,0.6244,0.3035
2012-01-08 00.00.00,26.44,37.017,17.933,0.4232,0.282
2012-01-08 01.00.00,26.44,37.017,17.933,0.4029,0.242
2012-01-08 02.00.00,26.44,37.017,17.933,0.3305,0.208
2012-01-08 03.00.00,26.44,37.017,17.933,0.3121,0.1678
2012-01-08 04.00.00,26.44,37.017,17.933,0.26,0.1236
2012-01-08 05.00.00,26.44,37.017,17.933,0.2286,0.1079
2012-01-08 06.00.00,26.44,37.017,17.933,0.154,0.054
2012-01-08 07.00.00,26.452,37.017,17.933,0.183,0.0942
2012-01-08 08.00.00,26.508,34.071,17.303,0.2885,0.1683
2012-01-08 09.00.00,25.999,27.934,14.946,0.2999,0.1793
2012-01-08 10.00.00,26.44,27.934,14.946,0.2319,0.1543
2012-01-08 11.00.00,25.661,27.934,14.946,0.2084,0.131
2012-01-08 12.00.00,25.661,28.219,14.946,0.2037,0.1185
2012-01-08 13.00.00,25.661,29.77,15.765,0.2068,0.123
2012-01-08 14.00.00,26.376,32.586,17.444,0.1485,0.1002
2012-01-08 15.00.00,27.87,37.017,17.933,0.1117,0.0878
2012-01-08 16.00.00,33.721,37.017,17.933,0.086,0.0917
2012-01-08 17.00.00,33.882,38.106,17.933,0.0904,0.0949
2012-01-08 18.00.00,35.568,39.12,17.933,0.1061,0.1013
2012-01-08 19.00.00,36.014,47.991,17.933,0.0639,0.0516
2012-01-08 20.00.00,36.334,49.679,17.933,0.047,0.0404
2012-01-08 21.00.00,36.747,49.901,17.933,0.0303,0.0364
2012-01-08 22.00.00,36.902,50.225,17.933,0,0.0014
2012-01-08 23.00.00,36.947,50.225,17.933,0,0.0043
2012-01-09 00.00.00,35.677,45.69,43.261,0.1831,0.0101
