time,Spot price 2025,Spot price 2035,Spot price 2045,DA forecast,Realised production
11/01/1985 04.00,97.821,149.481,141.767,0.1509,0.0463
11/01/1985 05.00,100.869,149.481,141.767,0.1679,0.0532
11/01/1985 06.00,106.744,149.481,135.271,0.1864,0.0685
11/01/1985 07.00,108.725,147.815,76.045,0.1919,0.0701
11/01/1985 08.00,107.868,109.522,76.045,0.1554,0.065
11/01/1985 09.00,99.104,69.059,70.772,0.2037,0.1077
11/01/1985 10.00,75.923,66.981,67.452,0.2232,0.1365
11/01/1985 11.00,69.59,66.981,66.495,0.2675,0.1419
11/01/1985 12.00,69.59,66.981,66.495,0.3213,0.1238
11/01/1985 13.00,76.534,66.981,69.298,0.2858,0.106
11/01/1985 14.00,97.611,69.844,72.594,0.2578,0.0947
11/01/1985 15.00,102.151,148.079,83.515,0.1699,0.0431
11/01/1985 16.00,110.733,149.31,141.661,0.1141,0.0098
11/01/1985 17.00,109.328,148.083,141.661,0.0866,0
11/01/1985 18.00,101.695,148.079,141.661,0.0925,0
11/01/1985 19.00,98.199,148.079,141.661,0.1322,0
11/01/1985 20.00,96.284,148.079,141.661,0.1707,0.0163
11/01/1985 21.00,96.284,148.079,141.661,0.2229,0.0441
11/01/1985 22.00,96.284,148.079,141.661,0.2741,0.0782
11/01/1985 23.00,96.284,148.079,141.661,0.333,0.1075
12/01/1985 00.00,45.873,63.66,74.849,0.2025,0.151
12/01/1985 01.00,44.787,63.48,74.849,0.2599,0.1803
12/01/1985 02.00,43.786,63.48,74.849,0.3214,0.2061
12/01/1985 03.00,43.451,63.48,74.849,0.3826,0.2181
12/01/1985 04.00,43.451,63.48,74.849,0.451,0.2292
12/01/1985 05.00,43.451,63.48,74.849,0.4875,0.2429
12/01/1985 06.00,43.451,63.48,74.849,0.5014,0.2518
12/01/1985 07.00,43.451,63.141,74.849,0.5587,0.2695
12/01/1985 08.00,43.451,62.158,74.594,0.5893,0.2888
12/01/1985 09.00,41.502,58.603,72.683,0.5913,0.2816
12/01/1985 10.00,41.698,58.603,71.97,0.5228,0.2678
12/01/1985 11.00,41.877,59.157,71.97,0.5154,0.2656
12/01/1985 12.00,42.592,59.176,72.162,0.4763,0.2549
12/01/1985 13.00,43.299,60.66,74.103,0.4292,0.2224
12/01/1985 14.00,44.391,62.144,74.739,0.3734,0.2157
12/01/1985 15.00,44.926,63.48,74.849,0.3415,0.206
12/01/1985 16.00,43.621,63.48,74.849,0.3644,0.1985
12/01/1985 17.00,43.451,63.48,74.849,0.3397,0.1921
12/01/1985 18.00,43.536,63.48,74.849,0.2965,0.1806
12/01/1985 19.00,43.595,63.825,74.849,0.3098,0.1739
12/01/1985 20.00,43.684,63.48,74.849,0.3323,0.1864
12/01/1985 21.00,44.926,63.48,74.849,0.3861,0.1916
12/01/1985 22.00,44.926,63.48,74.849,0.4021,0.1786
12/01/1985 23.00,44.926,63.48,74.849,0.422,0.1663
13/01/1985 00.00,42.874,62.422,74.481,0.3163,0.1891
13/01/1985 01.00,42.024,61.572,74.481,0.4289,0.2498
13/01/1985 02.00,40.593,61.572,74.481,0.427,0.2746
13/01/1985 03.00,39.919,61.572,74.481,0.5106,0.3003
13/01/1985 04.00,39.765,61.572,74.481,0.5154,0.2917
13/01/1985 05.00,39.285,61.572,74.481,0.4738,0.2841
13/01/1985 06.00,39.919,61.572,74.481,0.4268,0.2528
13/01/1985 07.00,40.802,61.572,74.481,0.3668,0.2351
13/01/1985 08.00,40.554,61.056,73.95,0.3721,0.2288
13/01/1985 09.00,39.588,57.908,71.433,0.3262,0.1993
13/01/1985 10.00,35.427,53.692,71.433,0.2975,0.2057
13/01/1985 11.00,35.58,53.692,71.433,0.2675,0.1809
13/01/1985 12.00,35.585,54.043,71.785,0.2436,0.1538
13/01/1985 13.00,38.648,60.178,72.755,0.2116,0.1274
13/01/1985 14.00,40.098,61.572,74.188,0.1542,0.1058
13/01/1985 15.00,40.986,63.887,74.481,0.1238,0.0998
13/01/1985 16.00,43.265,63.887,74.481,0.0922,0.0979
13/01/1985 17.00,42.187,63.887,74.481,0.1046,0.1091
13/01/1985 18.00,40.231,63.887,74.481,0.1265,0.1216
